Object,Count,object.corrected,check.again,viewed.image,checker,comments,
wooden pole,15,NA,0,1,KC,added to corrections.csv,
battery,16,battery,0,0,KC,,
beetlenut,16,betelnut,0,0,KC,,
hose,16,hose,0,0,KC,,
orange bowl,16,bowl,0,0,KC,,
pillar,16,pillar,0,0,KC,,
branch,17,stick,0,1,KC,"switched some to plant, added to corrections.csv",
iron rod,17,rebar,0,1,KC,,
knit bag,17,purse,0,1,KC,,
passionfruit,17,passionfruit,0,0,KC,,
toy sink,17,toy sink,0,0,KC,,
bag?,18,NA,0,1,KC,added to corrections.csv,
chick,18,chick,0,0,KC,,
coconut scraper,18,coconut scraper,0,0,KC,,
commercial fishing misc,18,fishing debris,0,1,KC,,
green food,18,NA,0,1,KC,added to corrections.csv,
misc tool,18,weaving tool,1,1,KC,MC check,
pill packaging,18,pill package,0,0,KC,,
purple flower,18,flower,0,0,KC,,
rattle,18,rattle,0,1,KC,better label?,
seed,18,seed,0,1,KC,switched one to nut,
shovel,18,shovel,0,0,KC,,
sieve,18,strainer,0,1,KC,,
spoon with food,18,spoon,0,1,KC,probably bean soup but too dark to identify,
sticks,18,stick,0,0,KC,,
super noodles package,18,noodles,0,0,KC,,
takis,18,chips,0,0,KC,,
weaving grass,18,leaf,0,1,KC,,
yellow plastic bear,18,toy bear,0,0,KC,,
clothesline,19,clothesline,0,0,KC,,
plants,19,plant,0,0,KC,,
potato,19,tuber,0,0,KC,,
scrub brush,19,scrub brush,0,0,KC,,
textbook,19,book,0,1,KC,,
avacado,20,avocado,0,0,KC,,
medicine box,20,cardboard packaging,0,1,KC,better label?,
weaving tool,20,weaving tool,0,0,KC,,
wooden board,20,wood slat,1,1,KC,possibly some other distinctions,
chicharrones,21,chicharrones,0,0,KC,,
juice box,21,juice,0,1,KC,,
bench,22,bench,0,1,KC,switched some to wall,
citrus,22,citrus fruit,0,1,KC,possibly a better label but doesn't overlap with any of the others so okay,
large plastic water bottle,22,empty drink bottle,0,1,KC,,
orange plastic tube,22,plastic tubing,0,1,KC,,
peach,22,peach,0,0,KC,,
stem,22,plant,0,1,KC,some other variations in corrections.csv,
toy truck,22,toy car,0,0,KC,,
tree trunk,22,tree,0,0,KC,,
combs,23,comb,0,0,KC,,
kitten,23,cat,0,1,KC,,
marker,23,marker,0,0,KC,,
noodles,23,noodles,0,0,KC,,
peanuts,23,peanut,0,0,KC,,
pineapple,23,pineapple,0,0,KC,,
recording vest,23,vest,0,0,KC,,
bag of chips,24,chips,0,0,KC,,
